state,county,measure_number,title,summary,yes_meaning,no_meaning,election_date,status,source,source_url
CA,,1,"Proposition 1: Authorizes Bonds for Housing Affordability Programs","Legislative statute placed on the ballot by the Legislature. Authorizes state general obligation bonds to fund housing affordability programs.","The state may sell general obligation bonds to fund housing affordability programs.","No such housing bonds are authorized.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,2,"Proposition 2: Increases State's Rainy Day Fund","Legislative constitutional amendment. Increases required deposits into the state's Budget Stabilization Account (""rainy day fund"").","Increases the required deposits into the state's rainy day reserve fund.","Keeps the current rainy day fund deposit rules.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,3,"Proposition 3: Permanent Funding for Schools and Health Care by Extending Existing Tax on High Incomes","Initiative constitutional amendment. Makes permanent the existing personal income tax surcharge on high incomes and dedicates the revenue to schools and health care.","Makes the existing high-income tax permanent and dedicates the revenue to schools and health care.","The existing high-income tax expires as currently scheduled.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,4,"Proposition 4: Repeals Prohibition Against Public Funding of Election Campaigns","Legislative statute. Repeals the state ban on public funding of political campaigns.","Repeals the ban, allowing public campaign financing programs.","Keeps the ban on public funding of political campaigns.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,5,"Proposition 5: Changes Recall Election Process for Statewide Officers","Legislative constitutional amendment. Changes the process and timing for recall elections of statewide elected officers.","Adopts the revised recall election process for statewide officers.","Keeps the current recall election process.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,37,"Proposition 37: Loan Program for Middle-Income Buyers of Qualified New Homes","Initiative statute. Creates a state loan program to help middle-income buyers purchase qualified newly built homes.","Creates the state home-buyer loan program.","No such loan program is created.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,38,"Proposition 38: Authorizes Bonds for Immunology Medical Research","Initiative statute. Authorizes state bonds to fund immunology medical research.","The state may sell bonds to fund immunology medical research.","No such research bonds are authorized.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,39,"Proposition 39: Requires Government-Issued Identification to Vote","Initiative constitutional amendment. Requires voters to present government-issued identification in order to vote.","Voters must present government-issued ID to vote.","Keeps current voter identification rules.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,40,"Proposition 40: Imposes One-Time Tax on Certain Taxpayers","Initiative constitutional amendment and statute. Imposes a one-time tax on certain high-wealth taxpayers.","Imposes the one-time tax on the specified taxpayers.","No such one-time tax is imposed.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,41,"Proposition 41: Prohibits New State Taxes That Exclude Revenues from the State Spending Limit; Requires Audits for New Special Taxes","Initiative constitutional amendment. Bars new state taxes that exclude their revenue from the state appropriations (spending) limit and requires audits of new state special taxes.","Bars such spending-limit-excluded taxes and requires audits of new special taxes.","Keeps current spending-limit and audit rules.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
CA,,42,"Proposition 42: Prohibits New State Personal Property Taxes and Certain Retroactive State Taxes","Initiative constitutional amendment. Bars new state personal property taxes and certain retroactive state taxes.","Bars new state personal property taxes and certain retroactive taxes.","Keeps current state authority over such taxes.",2026-11-03,upcoming,ca_sos,https://www.sos.ca.gov/elections/ballot-measures/qualified-ballot-measures
